Account_ID,Avg_Transaction_Amount_INR,Transaction_Frequency_Monthly,Unique_Counterparties_Monthly,Cash_Deposit_Ratio,International_Transfer_Ratio
ACC2000,43048,25,8,0.32,0.04
ACC2001,32417,15,1,0.19,0.1
ACC2002,8924,8,1,0.26,0.12
ACC2003,4831,22,9,0.27,0.09
ACC2004,33140,0,8,0.18,0.13
ACC2005,2179,18,9,0.23,0.06
ACC2006,29204,12,7,0.19,0.14
ACC2007,46391,8,3,0.07,0.02
ACC2008,28286,19,3,0.2,0.02
ACC2009,18311,16,2,0.08,0.1
ACC2010,32690,11,5,0.19,0.14
ACC2011,23133,7,3,0.26,0.12
ACC2012,27963,8,6,0.25,0.01
ACC2013,47817,24,2,0.28,0.04
ACC2014,19662,5,3,0.08,0.14
ACC2015,6273,51,21,0.89,0.43
ACC2016,45083,20,1,0.16,0.12
ACC2017,10019,2,1,0.19,0.12
ACC2018,4297,18,9,0.35,0.07
ACC2019,5402,19,7,0.05,0.06
ACC2020,1242,14,1,0.26,0.07
ACC2021,5166,13,8,0.26,0.03
ACC2022,34752,3,3,0.19,0.13
ACC2023,3678,12,8,0.13,0.07
ACC2024,16256,7,5,0.13,0.13
ACC2025,42444,5,1,0.36,0.02
ACC2026,2232,9,7,0.2,0.15
ACC2027,40696,3,5,0.17,0.07
ACC2028,14093,11,6,0.21,0.01
ACC2029,6107,13,6,0.28,0.01
ACC2030,5628,54,21,0.95,0.75
ACC2031,32650,4,9,0.21,0.1
ACC2032,43278,7,2,0.26,0.12
ACC2033,36338,21,9,0.38,0.02
ACC2034,40188,8,9,0.14,0.01
ACC2035,14516,5,7,0.18,0.08
ACC2036,9676,22,1,0.18,0.06
ACC2037,37209,11,7,0.26,0.07
ACC2038,39906,14,5,0.17,0.15
ACC2039,49599,5,6,0.24,0.15
ACC2040,20796,15,7,0.32,0.14
ACC2041,19378,8,5,0.3,0.12
ACC2042,39176,5,7,0.21,0.05
ACC2043,17648,21,9,0.35,0.06
ACC2044,46520,1,3,0.25,0.08
ACC2045,9526,46,30,0.64,0.6
ACC2046,21316,9,2,0.06,0.01
ACC2047,37973,18,7,0.4,0.06
ACC2048,37215,10,2,0.09,0.01
ACC2049,5068,12,4,0.13,0.08
ACC2050,44872,16,7,0.07,0.13
ACC2051,26325,9,3,0.27,0.12
ACC2052,41542,24,2,0.13,0.03
ACC2053,16047,5,7,0.11,0.15
ACC2054,45015,17,1,0.08,0.1
ACC2055,19783,8,8,0.09,0.0
ACC2056,7771,50,32,0.61,0.59
ACC2057,44618,17,2,0.29,0.04
ACC2058,5738,13,3,0.19,0.01
ACC2059,16411,21,5,0.22,0.14
ACC2060,48615,9,8,0.29,0.07
ACC2061,48025,7,7,0.06,0.13
ACC2062,29161,5,7,0.16,0.05
ACC2063,31558,15,7,0.39,0.02
ACC2064,22150,6,8,0.25,0.07
ACC2065,14905,1,1,0.14,0.02
ACC2066,7894,64,33,0.86,0.45
ACC2067,34115,6,6,0.17,0.14
ACC2068,9817,72,16,0.9,0.54
ACC2069,7855,89,15,0.85,0.49
ACC2070,40058,14,1,0.1,0.02
ACC2071,4670,8,2,0.1,0.01
ACC2072,24823,5,7,0.38,0.02
ACC2073,2942,14,3,0.31,0.09
ACC2074,26635,4,2,0.11,0.01
ACC2075,22338,20,7,0.12,0.06
ACC2076,44505,3,2,0.31,0.08
ACC2077,18403,3,3,0.1,0.06
ACC2078,8243,46,17,0.79,0.43
ACC2079,7982,16,4,0.39,0.04
ACC2080,37708,2,1,0.14,0.14
ACC2081,31332,13,5,0.28,0.1
ACC2082,7901,53,22,0.92,0.55
ACC2083,4853,18,8,0.18,0.0
ACC2084,36112,10,9,0.06,0.15
ACC2085,5111,9,9,0.14,0.1
ACC2086,41048,5,7,0.34,0.05
ACC2087,35111,10,4,0.35,0.13
ACC2088,4146,16,5,0.32,0.04
ACC2089,3941,22,1,0.09,0.08
ACC2090,49080,4,1,0.33,0.1
ACC2091,19630,4,3,0.37,0.03
ACC2092,17745,21,8,0.26,0.15
ACC2093,40215,18,2,0.38,0.11
ACC2094,47325,1,4,0.34,0.08
ACC2095,6330,86,21,0.81,0.74
ACC2096,37528,2,5,0.25,0.01
ACC2097,18869,13,9,0.17,0.05
ACC2098,4504,22,1,0.11,0.11
ACC2099,38604,4,5,0.26,0.04
ACC2100,27735,16,9,0.16,0.08
ACC2101,21966,19,1,0.35,0.11
ACC2102,45890,11,9,0.4,0.02
ACC2103,5314,7,8,0.31,0.1
ACC2104,23505,19,4,0.08,0.01
ACC2105,1594,10,5,0.15,0.14
ACC2106,23085,22,5,0.09,0.07
ACC2107,3393,4,6,0.28,0.02
ACC2108,5598,4,7,0.32,0.05
ACC2109,6967,5,8,0.37,0.06
ACC2110,33908,5,8,0.2,0.11
ACC2111,37520,17,2,0.37,0.11
ACC2112,29330,6,9,0.36,0.09
ACC2113,47967,12,7,0.16,0.02
ACC2114,19447,20,4,0.35,0.02
ACC2115,8478,40,19,0.67,0.78
ACC2116,43998,13,8,0.15,0.09
ACC2117,11254,3,4,0.28,0.13
ACC2118,48350,20,6,0.16,0.07
ACC2119,831,10,5,0.27,0.02
ACC2120,47980,4,3,0.26,0.08
ACC2121,2615,6,2,0.25,0.12
ACC2122,44151,3,9,0.18,0.11
ACC2123,27208,8,9,0.24,0.13
ACC2124,49221,25,1,0.26,0.04
ACC2125,4335,1,3,0.24,0.03
ACC2126,27614,5,8,0.21,0.13
ACC2127,48619,22,6,0.06,0.1
ACC2128,8456,77,32,0.84,0.63
ACC2129,31026,12,5,0.11,0.11
ACC2130,35182,7,6,0.27,0.12
ACC2131,22882,12,7,0.32,0.09
ACC2132,31707,2,1,0.23,0.1
ACC2133,29210,24,9,0.24,0.06
ACC2134,44443,4,3,0.38,0.08
ACC2135,3292,15,4,0.35,0.08
ACC2136,14776,14,1,0.37,0.13
ACC2137,47262,5,3,0.33,0.13
ACC2138,44603,12,2,0.09,0.12
ACC2139,23576,22,2,0.1,0.0
ACC2140,30968,13,1,0.23,0.11
ACC2141,14079,8,8,0.14,0.11
ACC2142,9934,8,3,0.22,0.1
ACC2143,23223,18,3,0.19,0.11
ACC2144,18420,6,6,0.24,0.13
ACC2145,29307,10,8,0.31,0.07
ACC2146,3956,14,9,0.3,0.08
ACC2147,49037,1,9,0.23,0.02
ACC2148,48746,18,4,0.34,0.06
ACC2149,36066,18,5,0.2,0.1
ACC2150,27828,5,2,0.36,0.12
ACC2151,16079,7,9,0.07,0.03
ACC2152,8093,83,31,0.75,0.45
ACC2153,34585,6,3,0.28,0.1
ACC2154,8305,19,9,0.18,0.0
ACC2155,45740,13,3,0.12,0.03
ACC2156,40754,10,9,0.22,0.0
ACC2157,47767,9,2,0.12,0.03
ACC2158,6369,47,22,0.72,0.39
ACC2159,30675,4,8,0.27,0.06
ACC2160,20905,6,9,0.23,0.06
ACC2161,46064,24,5,0.28,0.13
ACC2162,44099,14,2,0.38,0.08
ACC2163,2480,14,8,0.24,0.11
ACC2164,1706,9,6,0.25,0.02
ACC2165,6817,74,31,0.61,0.39
ACC2166,40763,15,5,0.3,0.11
ACC2167,49743,6,2,0.19,0.01
ACC2168,7756,17,6,0.39,0.07
ACC2169,29340,0,5,0.34,0.09
ACC2170,7630,44,33,0.63,0.5
ACC2171,48221,8,1,0.09,0.0
ACC2172,41709,13,2,0.35,0.05
ACC2173,41845,11,8,0.33,0.1
ACC2174,9065,62,22,0.67,0.54
ACC2175,20845,3,3,0.15,0.1
ACC2176,13845,16,8,0.33,0.11
ACC2177,6716,89,31,0.94,0.78
ACC2178,43101,3,2,0.37,0.03
ACC2179,40705,3,8,0.2,0.12
ACC2180,50256,9,1,0.08,0.08
ACC2181,50276,10,6,0.34,0.06
ACC2182,5617,70,29,0.87,0.59
ACC2183,39593,12,3,0.23,0.11
ACC2184,47551,22,8,0.09,0.04
ACC2185,43675,21,1,0.05,0.06
ACC2186,7841,68,29,0.81,0.46
ACC2187,23848,10,9,0.23,0.12
ACC2188,6703,12,5,0.26,0.11
ACC2189,47585,22,4,0.33,0.11
ACC2190,30446,14,6,0.28,0.04
ACC2191,11709,22,7,0.11,0.03
ACC2192,33792,1,5,0.18,0.1
ACC2193,30807,12,9,0.37,0.07
ACC2194,18644,8,3,0.32,0.03
ACC2195,5845,22,7,0.24,0.1
ACC2196,34071,14,5,0.14,0.15
ACC2197,27019,4,7,0.16,0.11
ACC2198,38551,20,2,0.31,0.11
ACC2199,26645,25,4,0.35,0.14
